Id,CreatedAt,Line,Type,Text
195404417703493632,"Thu Apr 26 06:50:18 +0000 2012","Metropolitan","Suspended","Metropolitan Line: Suspended between Harrow on the Hill and Uxbridge due to a signal failure at Harrow on the Hill."
195398117858869249,"Thu Apr 26 06:25:16 +0000 2012","","Severe delays","Bakerloo Line: Severe delays are occurring due to a fire alert at Embankment."
195277322436354048,"Wed Apr 25 22:25:16 +0000 2012","District","","District Line: Back to good service."
195276074106617856,"Wed Apr 25 22:20:18 +0000 2012","Metropolitan","Minor delays","Metropolitan Line: Minor delays are occurring due to an earlier customer incident at Finchley Road."
195273561638834177,"Wed Apr 25 22:10:19 +0000 2012","","","Bakerloo Line: Back to good service."
195271115948556289,"Wed Apr 25 22:00:36 +0000 2012","Metropolitan","","Metropolitan Line: Back to good service."
195250905258541057,"Wed Apr 25 20:40:18 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
195249637794385921,"Wed Apr 25 20:35:15 +0000 2012","District","Minor delays","District Line: Minor delays are occuring between Earls Court and Upminster eastbound due to a signalling problem at Tower Hill."
195204338753355777,"Wed Apr 25 17:35:15 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring due to a faulty train earlier at North Greenwich."
195201822443577344,"Wed Apr 25 17:25:15 +0000 2012","Metropolitan","Severe delays","Metropolitan Line: Severe delays are occurring due to an earlier customer incident at Finchley Road."
195198059628601344,"Wed Apr 25 17:10:18 +0000 2012","Jubilee","Severe delays","Jubilee Line: Severe delays are occurring due to earlier faulty trains at Wembley Park and North Greenwich."
195196790784532481,"Wed Apr 25 17:05:16 +0000 2012","Metropolitan","Severe delays","Metropolitan Line: Severe delays are occuring due to earlier customer incident at Finchley Road."
195195615871905792,"Wed Apr 25 17:00:36 +0000 2012","Jubilee","Severe delays","Jubilee Line: Severe delays are occuring due to earlier faulty trains at Wembley Park and North Greenwich."
195160310930345984,"Wed Apr 25 14:40:18 +0000 2012","Metropolitan","Severe delays","Metropolitan Line: Severe delays are occurring due to a person under a train at Finchley Road."
195128846805254145,"Wed Apr 25 12:35:17 +0000 2012","Northern","Minor delays","Northern Line: Minor delays are occurring due to an earlier signal failure at Tooting Bec."
195127641337118720,"Wed Apr 25 12:30:29 +0000 2012","Northern","Suspended","Northern Line: Suspended between Morden and Kennington due to an earlier signal failure at Tooting Bec."
195126326326345729,"Wed Apr 25 12:25:16 +0000 2012","Northern","Suspended","Northern Line: Suspended between Morden and Kennington due to a signal failure a Tooting Bec. A good service on the rest of the line"
195125077392633856,"Wed Apr 25 12:20:18 +0000 2012","Northern","Suspended","Northern Line: Part suspended between Morden and Kennington due to a signal failure a Tooting Bec. A good service to the rest of the line"
195093645525921792,"Wed Apr 25 10:15:24 +0000 2012","Northern","Severe delays","Northern Line: Severe delays are occurring between Morden and Kennington due to a signal failure a Tooting Bec."
195077263425941504,"Wed Apr 25 09:10:18 +0000 2012","Northern","Minor delays","Northern Line: Minor delays are occurring between Morden and Kennington due to a signal failure a Tooting Bec."
195058380765806592,"Wed Apr 25 07:55:16 +0000 2012","","","Waterloo & City Line: Back to good service."
195055908794007552,"Wed Apr 25 07:45:27 +0000 2012","","Suspended","Waterloo & City Line: Suspended due to a signal failure at Waterloo."
195021943886454785,"Wed Apr 25 05:30:29 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring between Stanmore and Wembley Park due to an earlier signal failure at Stanmore."
195011829821472768,"Wed Apr 25 04:50:18 +0000 2012","Jubilee","Severe delays","Jubilee Line: Severe delays are occurring between Stanmore and Wembley Park due to an earlier signal failure at Stanmore."
195008045871415296,"Wed Apr 25 04:35:15 +0000 2012","Jubilee","Suspended","Jubilee Line: Suspended between Stanmore and Wembley Park due to a signal failure at Stanmore."
194955199616520192,"Wed Apr 25 01:05:16 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
194918717262532609,"Tue Apr 24 22:40:18 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring due to an earlier signal failure at Wembley Park."
194878522005790721,"Tue Apr 24 20:00:34 +0000 2012","Piccadilly","","Piccadilly Line: Back to good service."
194844508523995138,"Tue Apr 24 17:45:25 +0000 2012","Piccadilly","Minor delays","Piccadilly Line: Minor delays are occurring between Rayners Lane and Uxbridge due to an earlier signalling problem at Arnos Grove."
194823089232674816,"Tue Apr 24 16:20:18 +0000 2012","Piccadilly","Minor delays","Piccadilly Line: Minor delays are occurring between Acton Town and Heathrow/Uxbridge due to an earlier signalling problem at Arnos Grove."
194816788595343361,"Tue Apr 24 15:55:16 +0000 2012","Piccadilly","Minor delays","Piccadilly Line: Minor delays are occurring between Kings Cross and Cockfosters due to an earlier signalling problem at Arnos Grove."
194650691954937856,"Tue Apr 24 04:55:16 +0000 2012","District","","District Line: Back to good service."
194644453925986305,"Tue Apr 24 04:30:28 +0000 2012","District","Minor delays","District Line: Minor delays are occurring between Earls Court and Wimbledon due to the late finish of engineering work at Earls Court."
194639378050588672,"Tue Apr 24 04:10:18 +0000 2012","District","Suspended","District Line: Suspended between Earls Court and Wimbledon due to the late finish of engineering work at Earls Court."
194478362251624448,"Mon Apr 23 17:30:29 +0000 2012","Jubilee","","Jubilee Line: Back to good service."
194474564145786880,"Mon Apr 23 17:15:23 +0000 2012","Victoria","","Victoria Line: Back to good service."
194459468203958273,"Mon Apr 23 16:15:24 +0000 2012","Central","","Central Line: Back to good service."
194458182771408896,"Mon Apr 23 16:10:18 +0000 2012","Jubilee","Minor delays","Jubilee Line: Minor delays are occurring due to a fire alert earlier at St. John's Wood."
194453149879242752,"Mon Apr 23 15:50:18 +0000 2012","Victoria","Minor delays","Victoria Line: Minor delays are occurring due to an earlier fire alert at Seven Sisters."
